Date,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI)
7/6/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
7/7/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/8/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/9/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/10/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/11/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/12/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/13/2000,-0.025647443,0.252294745,-0.009104515,0.224538485,0.179637351,0.776640818
7/14/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/15/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/16/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/17/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/18/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/19/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/20/2000,-0.054841059,0.196500449,-0.045962063,0.226943487,0.105512181,0.778699469
7/21/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/22/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/23/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/24/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/25/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/26/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/27/2000,-0.085404499,0.133316825,-0.082215087,0.227651325,0.024243687,0.780169879
7/28/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
7/29/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
7/30/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
7/31/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
8/1/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
8/2/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
8/3/2000,-0.115872827,0.071670323,-0.116067073,0.226942273,-0.062729982,0.781108995
8/4/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/5/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/6/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/7/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/8/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/9/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/10/2000,-0.143967282,0.02194437,-0.145210195,0.224948685,-0.152863915,0.781571628
8/11/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/12/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/13/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/14/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/15/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/16/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/17/2000,-0.168147046,-0.009614201,-0.168649759,0.221832922,-0.24246249,0.781608028
8/18/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/19/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/20/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/21/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/22/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/23/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/24/2000,-0.18639846,-0.02351595,-0.184778559,0.218253663,-0.329180726,0.781263282
8/25/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
8/26/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
8/27/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
8/28/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
8/29/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
8/30/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
8/31/2000,-0.198779829,-0.027581831,-0.193657288,0.21441889,-0.410703055,0.780578033
9/1/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/2/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/3/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/4/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/5/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/6/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/7/2000,-0.206172453,-0.029599429,-0.196292525,0.210762197,-0.485477226,0.77958895
9/8/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/9/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/10/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/11/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/12/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/13/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/14/2000,-0.2081655,-0.031966961,-0.193101926,0.207992894,-0.552270809,0.778328974
9/15/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/16/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/17/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/18/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/19/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/20/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/21/2000,-0.206729724,-0.035541683,-0.187273516,0.206754541,-0.609709902,0.776828511
9/22/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
9/23/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
9/24/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
9/25/2000,-0.202351572,-0.036324163,-0.180320381,0.208224033,-0.658388634,0.775115676
